field,system,layer,train_n,validation_n,test_n,test_balanced_accuracy,test_macro_f1,validation_balanced_accuracy,validation_macro_f1
proposer,base,20,1226,166,346,0.9823540771496162,0.9714208172560681,0.9307369402985075,0.9158546888200507
proposer,base,21,1226,166,346,0.9823540771496162,0.9714208172560681,0.9307369402985075,0.9158546888200507
proposer,base,22,1226,166,346,0.9740018345966301,0.9632553364720875,0.9426305970149254,0.9176723425359563
proposer,base,23,1226,166,346,0.9777193067155893,0.9711649502946604,0.9158115671641791,0.8835464896659652
proposer,base,24,1226,166,346,0.9879302853280548,0.9834481438959051,0.9195429104477613,0.8913849509269357
proposer,base,25,1226,166,346,0.978660744460001,0.9831384015594542,0.9351679104477613,0.9014624143327397
proposer,base,26,1226,166,346,0.9730845362815623,0.9709016639634769,0.9351679104477613,0.9014624143327397
proposer,base,27,1226,166,346,0.9693670641626032,0.9629263646645634,0.9314365671641791,0.8935897435897436
proposer,base,28,1226,166,346,0.9712258002220828,0.9668962877918101,0.9388992537313433,0.9094874591057798
proposer,base,29,1226,166,346,0.9675083281031236,0.9589911344995969,0.9351679104477613,0.9014624143327397
proposer,base,30,1226,166,346,0.9675083281031236,0.9589911344995969,0.9232742537313433,0.8993773075439466
proposer,base,31,1226,166,346,0.9758605706561096,0.9671929075996776,0.9270055970149254,0.9075311942959001
proposer,base,32,1226,166,346,0.9777193067155893,0.9711649502946604,0.9388992537313433,0.9094874591057798
proposer,answer_only,0,1226,166,346,0.5,0.4373983739837398,0.5,0.44666666666666666
proposer,answer_only,1,1226,166,346,0.6862356973881137,0.6567460317460317,0.6907649253731343,0.6239840106595602
proposer,answer_only,2,1226,166,346,0.6834838024429102,0.6647286821705427,0.6907649253731343,0.6239840106595602
proposer,answer_only,3,1226,166,346,0.7929802539467967,0.7597222222222222,0.6849347014925373,0.6489105307166396
proposer,answer_only,4,1226,166,346,0.7613817409356443,0.7125980618366405,0.6930970149253731,0.6493855606758833
proposer,answer_only,5,1226,166,346,0.7827692753343312,0.7493593971305316,0.6686100746268657,0.6469001297016861
proposer,answer_only,6,1226,166,346,0.7781345049003041,0.7475470177616605,0.6730410447761195,0.6428678641116725
proposer,answer_only,7,1226,166,346,0.7670303674021146,0.751377245508982,0.6590485074626866,0.6628434886499402
proposer,answer_only,8,1226,166,346,0.7595712837348525,0.7296875,0.6977611940298507,0.7025089605734767
proposer,answer_only,9,1226,166,346,0.7809105392748515,0.7465201465201465,0.699160447761194,0.6807692307692308
proposer,answer_only,10,1226,166,346,0.8291893979626321,0.8003816624506279,0.7989738805970149,0.7919799498746867
proposer,answer_only,11,1226,166,346,0.9015835465649592,0.8718389062868304,0.818330223880597,0.8108908635224426
proposer,answer_only,12,1226,166,346,0.9257229759088494,0.9013401767892786,0.8682369402985075,0.8726618280521625
proposer,answer_only,13,1226,166,346,0.9545213151161107,0.9503444316877153,0.9426305970149254,0.9176723425359563
proposer,answer_only,14,1226,166,346,0.9944237918215613,0.9876421215548545,0.9500932835820896,0.9345536468600395
proposer,answer_only,15,1226,166,346,0.9962825278810409,0.9917240719479525,0.9657182835820896,0.9445187165775402
proposer,answer_only,16,1226,166,346,0.9897890213875344,0.9875292845557757,0.9694496268656716,0.9532526049000282
proposer,answer_only,17,1226,166,346,0.9916477574470139,0.9916477574470139,0.9381996268656716,0.9330452319216365
proposer,answer_only,18,1226,166,346,1.0,1.0,0.9731809701492538,0.9621781727044885
proposer,answer_only,19,1226,166,346,1.0,1.0,0.9731809701492538,0.9621781727044885
proposer,answer_only,20,1226,166,346,1.0,1.0,0.9888059701492538,0.9719515629400168
proposer,answer_only,21,1226,166,346,1.0,1.0,0.9731809701492538,0.9621781727044885
proposer,answer_only,22,1226,166,346,1.0,1.0,0.9731809701492538,0.9621781727044885
proposer,answer_only,23,1226,166,346,1.0,1.0,0.9731809701492538,0.9621781727044885
proposer,answer_only,24,1226,166,346,1.0,1.0,0.9888059701492538,0.9719515629400168
proposer,answer_only,25,1226,166,346,1.0,1.0,0.9888059701492538,0.9719515629400168
proposer,answer_only,26,1226,166,346,1.0,1.0,0.9888059701492538,0.9719515629400168
proposer,answer_only,27,1226,166,346,1.0,1.0,0.9888059701492538,0.9719515629400168
proposer,answer_only,28,1226,166,346,0.9981412639405205,0.9958430948519252,0.9731809701492538,0.9621781727044885
proposer,answer_only,29,1226,166,346,1.0,1.0,0.9888059701492538,0.9719515629400168
proposer,answer_only,30,1226,166,346,1.0,1.0,0.9888059701492538,0.9719515629400168
proposer,answer_only,31,1226,166,346,1.0,1.0,0.9888059701492538,0.9719515629400168
proposer,answer_only,32,1226,166,346,1.0,1.0,0.9731809701492538,0.9621781727044885
proposer,subjectesis,0,1226,166,346,0.5,0.4373983739837398,0.5,0.44666666666666666
proposer,subjectesis,1,1226,166,346,0.6964466760005794,0.6665854820776196,0.6527518656716418,0.585
proposer,subjectesis,2,1226,166,346,0.6974363926036788,0.6883314855875832,0.6394589552238805,0.5979880774962743
proposer,subjectesis,3,1226,166,346,0.7650992130546034,0.7179590362688955,0.6604477611940298,0.6452991452991452
proposer,subjectesis,4,1226,166,346,0.7502534640081109,0.7063304765453566,0.6588152985074627,0.6134500745156483
proposer,subjectesis,5,1226,166,346,0.7743928933520012,0.7315579786118683,0.6105410447761195,0.5952269779507133
proposer,subjectesis,6,1226,166,346,0.8124607734273162,0.7734119187950229,0.6373600746268657,0.6224678690432115
proposer,subjectesis,7,1226,166,346,0.7382561676241974,0.7220631993392693,0.6634794776119404,0.6596035543403964
proposer,subjectesis,8,1226,166,346,0.8022739342441945,0.774368610113291,0.667910447761194,0.6560523446019629
proposer,subjectesis,9,1226,166,346,0.8375416405156182,0.8080592908179115,0.804804104477612,0.7529761904761905
proposer,subjectesis,10,1226,166,346,0.8523873895621108,0.8202597402597402,0.8309235074626866,0.7980642090231131
proposer,subjectesis,11,1226,166,346,0.9173707333558634,0.8934473909324209,0.8852611940298507,0.8434946574481459
proposer,subjectesis,12,1226,166,346,0.9118186646067687,0.8988197588050204,0.9314365671641791,0.8935897435897436
proposer,subjectesis,13,1226,166,346,0.9693670641626032,0.9629263646645634,0.9500932835820896,0.9345536468600395
proposer,subjectesis,14,1226,166,346,0.9916477574470139,0.9916477574470139,0.9694496268656716,0.9532526049000282
proposer,subjectesis,15,1226,166,346,0.9962825278810409,0.9917240719479525,0.9657182835820896,0.9445187165775402
proposer,subjectesis,16,1226,166,346,0.9935064935064934,0.9958043823590041,0.9538246268656716,0.9432672590567327
proposer,subjectesis,17,1226,166,346,0.9935064935064934,0.9958043823590041,0.9694496268656716,0.9532526049000282
proposer,subjectesis,18,1226,166,346,1.0,1.0,0.9850746268656716,0.9630124777183601
proposer,subjectesis,19,1226,166,346,1.0,1.0,0.9850746268656716,0.9630124777183601
proposer,subjectesis,20,1226,166,346,1.0,1.0,0.9850746268656716,0.9630124777183601
proposer,subjectesis,21,1226,166,346,1.0,1.0,0.9850746268656716,0.9630124777183601
proposer,subjectesis,22,1226,166,346,1.0,1.0,0.9850746268656716,0.9630124777183601
proposer,subjectesis,23,1226,166,346,1.0,1.0,0.9850746268656716,0.9630124777183601
