dataset,system,family,questions,clusters,accuracy,accuracy_low,accuracy_high,f1,f1_low,f1_high
opentom,answer_only_direct,multihop_so_accessibility,54,27,0.46296296296296297,0.3148148148148148,0.6111111111111112,0.3161375661375661,0.22106983849177106,0.4028501024065539
opentom,answer_only_direct,attitude,27,27,0.4444444444444444,0.25925925925925924,0.6296296296296297,0.36891793754538854,0.2177700534759358,0.4857142857142857
opentom,subjectesis_direct,location_cg_fo,54,27,0.6666666666666666,0.5740740740740741,0.7592592592592593,0.4,0.36470588235294116,0.43157894736842106
opentom,subjectesis_direct,location_cg_so,54,27,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.42471590909090906,0.31454515457845095,0.5169946332737031
opentom,subjectesis_direct,location_fg_fo,108,27,0.6666666666666666,0.5740740740740741,0.75,0.6802055297284071,0.5882331970900884,0.7621796351881782
opentom,subjectesis_direct,location_fg_so,54,27,0.2777777777777778,0.16666666666666666,0.3888888888888889,0.28369704749679076,0.18333333333333332,0.3777820677820677
opentom,subjectesis_direct,multihop_fo_fullness,108,27,0.6481481481481481,0.5740740740740741,0.7314814814814815,0.5552254061290206,0.48586452753420456,0.6222233297891192
opentom,subjectesis_direct,multihop_fo_accessibility,54,27,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.4666666666666666,0.39246624193613017,0.5273895137992499
opentom,subjectesis_direct,multihop_so_fullness,108,27,0.3611111111111111,0.24074074074074073,0.49074074074074076,0.3416666666666666,0.24727141443431835,0.42392778452709085
opentom,subjectesis_direct,multihop_so_accessibility,54,27,0.48148148148148145,0.35185185185185186,0.6296296296296297,0.3563357546408394,0.2598980484671274,0.4375659328058709
opentom,subjectesis_direct,attitude,27,27,0.37037037037037035,0.18518518518518517,0.5555555555555556,0.32666666666666666,0.1714958592132505,0.4527777777777778
opentom,subjectesis_no_review,location_cg_fo,54,27,0.6666666666666666,0.5740740740740741,0.7592592592592593,0.4,0.36470588235294116,0.43157894736842106
opentom,subjectesis_no_review,location_cg_so,54,27,0.42592592592592593,0.3148148148148148,0.5370370370370371,0.39060793593010557,0.2852941176470588,0.48572407417477825
opentom,subjectesis_no_review,location_fg_fo,108,27,0.6851851851851852,0.6111111111111112,0.75,0.6902985074626866,0.6099466562581317,0.7631147923912996
opentom,subjectesis_no_review,location_fg_so,54,27,0.3148148148148148,0.2037037037037037,0.42592592592592593,0.34546271338724166,0.22795893955024246,0.4527864583333332
opentom,subjectesis_no_review,multihop_fo_fullness,108,27,0.6666666666666666,0.6018518518518519,0.7314814814814815,0.6050855795199023,0.5409928369767479,0.6635649978041283
opentom,subjectesis_no_review,multihop_fo_accessibility,54,27,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.4666666666666666,0.39246624193613017,0.5273895137992499
opentom,subjectesis_no_review,multihop_so_fullness,108,27,0.3611111111111111,0.25,0.4722222222222222,0.3601625747248141,0.2618921513725293,0.45007953381743704
opentom,subjectesis_no_review,multihop_so_accessibility,54,27,0.5185185185185185,0.37037037037037035,0.6481481481481481,0.40116959064327484,0.29523606023606025,0.4861111111111111
opentom,subjectesis_no_review,attitude,27,27,0.4444444444444444,0.25925925925925924,0.6296296296296297,0.391670058336725,0.2125872850010781,0.5628863826232247
opentom,subjectesis_review,location_cg_fo,54,27,0.6666666666666666,0.5740740740740741,0.7592592592592593,0.4,0.36470588235294116,0.43157894736842106
opentom,subjectesis_review,location_cg_so,54,27,0.3888888888888889,0.2777777777777778,0.5,0.35129231889333823,0.24558823529411763,0.4476190476190476
opentom,subjectesis_review,location_fg_fo,108,27,0.6851851851851852,0.6111111111111112,0.75,0.6902985074626866,0.6099466562581317,0.7631147923912996
opentom,subjectesis_review,location_fg_so,54,27,0.25925925925925924,0.14814814814814814,0.37037037037037035,0.28071790151863785,0.16409529698033426,0.38708220415537486
opentom,subjectesis_review,multihop_fo_fullness,108,27,0.6666666666666666,0.6018518518518519,0.7314814814814815,0.6050855795199023,0.5409928369767479,0.6635649978041283
